author_name,first_publish_year,isbn,key,language,number_of_pages_median,publisher,title,subject,ratings_average,ratings_count

['Stuart Woods'],1994,"['9780061835537', '9780786203147', '0786203145', '9780061559174', '0002245264', '9780061093586', '9780786203154', '0061093580', '0061559172', '9780060177768', '0061559180', '0786203153', '0060177764', '9780061559181', '0061835536', '9780002245265']",/works/OL15858574W,['eng'],376,"['Thorndike Press', 'Harper', 'HarperCollins', 'HarperPaperbacks', 'HarperTorch']",Heat,"['Government investigators', 'Undercover operations', 'Man-woman relationships', 'Cults', 'Fiction', 'Detective and mystery stories', 'Mystery', 'Thriller', 'Large type books', 'Governmental investigations', 'Mystery fiction', 'Idaho, fiction', 'Fiction, mystery & detective, general', 'Man-woman relationships, fiction', 'Warden, jesse (fictitious character), fiction']",4.0,1
['Kathy Reichs'],2006,"['0099556588', '9780434010431', '9780743552608', '1501105612', '074356460X', '9780743564601', '9780743297394', '0743552601', '9781416535218', '0743453034', '0743564596', '9781594131806', '9780743453035', '9780099556589', '0743297393', '9780743233491', '1594131805', '0099441519', '0786288205', '0743552628', '9780786288205', '9780434010424', '9780099441519', '9780743552622', '0743233492', '0434010421', '1416535217', '9780743564595', '043401043X', '9781501105616']",/works/OL14870349W,['eng'],352,"['Pocket', 'Simon & Schuster Audio', 'Pocket Books', 'Thorndike Press', 'Scribner International', 'Doubleday Large Print Home Library Edition', 'Arrow', 'SIMON & SCHUSTER', 'Large Print Press', 'Arrow Books', 'Penguin Random House', 'Scribner']",Break No Bones,"['Forensic anthropology', 'Temperance Brennan (Fictitious character)', 'Murder', 'Open Library Staff Picks', 'Ex-husbands', 'Women forensic anthropologists', 'Fiction', 'Cemeteries', 'American Suspense fiction', 'Missing persons', 'Excavations (Archaeology)', 'Medical examiners (Law)', 'Brennan, temperance (fictitious character), fiction', 'Fiction, mystery & detective, women sleuths', 'Charleston (s.c.), fiction', 'Large type books', 'Mystery fiction', 'Temperance Brennan (Fictional character)', 'Investigation', 'Fiction, mystery & detective, general']",4.0,2
['Judith Bauer Stamper'],1987,"['0590453440', '9780590453448']",/works/OL2193327W,['eng'],117,['Scholastic'],More Tales for the Midnight Hour (Point),"[""Children's fiction"", 'Mystery and detective stories', 'Scary stories']",5.0,1
['Christianna Brand'],1982,"['1453290508', '9781453292334', '9780718120849', '0312095481', '1306606772', '9781453292419', '1453292411', '9781453290507', '9780312095482', '0718120841', '1453292330', '9781306606776']",/works/OL4463211W,['eng'],252,"['Joseph', 'Open Road Integrated Media, Inc.', ""St. Martin's Press"", 'MysteriousPress.com']",The brides of Aberdar,"['Fiction, mystery & detective, general']",4.0,1
"['Karen M. McManus', 'Yaʻel Akhmon']",2020,"['9780525707981', '0525707999', '0593175476', '0525707980', '0241376920', '9780593175477', '8420440299', '9782092593967', '209259396X', '357031457X', '0241376939', '9781432880880', '0525707964', '9789655741766', '838202730X', '9655741761', '9781094259000', '9788420440293', '9780525707967', '9783570314579', '0525707972', '9780525707998', '9780241376928', '9780241376935', '9780525707974', '9788382027303', '1432880888', '1094259004']",/works/OL20639427W,"['eng', 'heb', 'spa', 'pol', 'fre']",384,"['Alfaguara Infantil', 'Kineret : Zemorah Bitan', ""Random House Children's Books"", 'Penguin Books, Limited', 'Znak', 'Random House Publishing Group', 'cbt', 'NATHAN', 'Delacorte Press', 'Penguin Group USA', 'Thorndike Striving Reader']",One of us is next,"['Young adult fiction, mysteries & detective stories', 'Young adult fiction, school & education, general', 'Young adult fiction, thrillers & suspense', 'Young adult fiction, social themes, friendship', ""Children's fiction"", 'nyt:young-adult-hardcover=2020-01-26', 'New York Times bestseller', 'Young adult fiction, thrillers & suspense, general', 'High school students', 'Fiction', 'High schools']",4.130435,23
['Leslie McFarlane'],1988,"['9780671688066', '9780671716073', '9780671646806', '067164680X', '0671716077', '0671688065']",/works/OL47798W,['eng'],150,"['Simon & Schuster', 'Simon Pulse', 'Pocket Books']",The Number File,"['Hardy Boys (Fictitious characters)', 'Detective and mystery stories', 'Mystery fiction', 'Fiction', 'series:HardyBoys', 'collectionID:HBCFS', ""Children's fiction"", 'Mystery and detective stories', 'Hardy boys (fictitious characters), fiction']",4.0,1
['Mary Higgins Clark'],1989,"['9780833583543', '0816150362', '0091872812', '067167367X', '9781568490731', '9780712630764', '067168812X', '9789684584341', '9780671673673', '9780671701239', '0099685108', '9780816150366', '9780099685104', '9780099813002', '0099813009', '0712630767', '1568490739', '0816150354', '9780708985762', '9780091872816', '0708985769', '9780606046060', '9780816150359', '9780671688127', '0099757907', '9780099757900', '0833583549', '0606046062', '0671701231', '9684584342']",/works/OL12983W,"['spa', 'und', 'eng']",318,"['Arrow', 'Tandem Library', 'Cresset Editions', 'Century', 'G.K. Hall', 'Penguin Random House', 'Simon and Schuster', 'Charnwood', 'Lasser Press', 'Pocket Star Books', 'Demco Media', 'Buccaneer Books', 'Simon & Schuster Audio']",The Anastasia Syndrome,"['Fiction, mystery & detective, women sleuths', 'Detective and mystery stories', 'American Short stories', 'Fiction', 'Open Library Staff Picks', 'Manners and customs', 'Short stories', 'Large type books', 'New York Times reviewed', 'Fiction, suspense', 'Fiction, short stories (single author)', 'Fiction, thrillers, suspense', 'Literature and fiction, mystery and suspense', 'Literature and fiction, women authors']",5.0,1
['Leslie McFarlane'],2014,"['9781442493964', '148442364X', '9781484423646', '9781442493957', '144249395X', '9781613757710', '1442493968', '1613757719', '9781098250058', '1098250052']",/works/OL17936064W,['eng'],141,"['Spotlight', 'Oasis Audio', 'Aladdin', ""Simon and Schuster Children's Publishing Division"", ""Simon & Schuster Children's Publishing""]",Peril at Granite Peak,"['Detective and mystery stories', 'Brothers', 'Ski resorts', 'Juvenile fiction', 'JUVENILE FICTION / Mysteries & Detective Stories', 'Fiction', 'Mystery fiction', 'Hardy Boys (Fictitious characters)', 'Sabotage', 'JUVENILE FICTION / Boys & Men', 'JUVENILE FICTION / Action & Adventure', 'Mystery and detective stories', ""Children's fiction"", 'Hardy boys (fictitious characters), fiction', 'Sabotage, fiction', 'series:HardyBoys', 'collectionID:HBadv']",5.0,1
['Max Frisch'],1957,"['9783518010877', '9780156421355', '0413314901', '0140034285', '8252505384', '3499111977', '9788252505382', '9780785924661', '3518368540', '3518068547', '9783518392409', '3518392409', '0156421356', '9780140034288', '9783518368541', '9780413314901', '9783518068540', '9783499111976', '0785924663', '0395144027', '3518010875', '9780395144022']",/works/OL865560W,"['fin', 'ita', 'ger', 'nor', 'eng']",237,"['Suhrkamp Verlag', 'Houghton Mifflin', 'Harcourt Brace Jovanovich', 'Feltrinelli', 'Eyre Methuen', 'Penguin', 'Rowohlt', 'Harcourt Brace', 'Suhrkamp', 'Abelard-Schuman', 'French & European Pubns', 'Den norske Bokklubben']",Homo Faber,"['German language', 'Readers', 'Fiction, general', 'Fiction, mystery & detective, general', 'Man-woman relationships', 'Fiction', 'Travel', 'Fathers and daughters', 'Relations entre hommes et femmes', 'Romans, nouvelles', 'Voyage', 'Pères et filles', 'German fiction']",3.8181818,11
